name,Overall_absence_rate,Authorised_absence_rate,Unauthorised_absence_rate
County_Durham,8.10%,5.90%,2.20%
Darlington,7.70%,5.60%,2.10%
Gateshead,8.30%,5.60%,2.70%
Hartlepool,7.90%,5.00%,2.90%
Middlesbrough,8.80%,5.10%,3.70%
Newcastle_upon_Tyne,8.70%,5.20%,3.40%
North_Tyneside,7.10%,5.30%,1.80%
Northumberland,7.90%,6.10%,1.80%
Redcar_and_Cleveland,7.90%,5.10%,2.80%
South_Tyneside,7.50%,6.00%,1.50%
Stockton_on_Tees,7.70%,5.20%,2.50%
Sunderland,8.40%,5.40%,2.90%
Blackburn_with_Darwen,7.40%,5.30%,2.10%
Blackpool,7.90%,4.50%,3.40%
Bolton,6.90%,5.00%,1.90%
Bury,7.10%,5.20%,1.90%
Cheshire_East,7.40%,6.00%,1.50%
Cheshire_West_and_Chester,7.80%,6.00%,1.80%
Cumbria,7.70%,6.20%,1.60%
Halton,8.10%,5.60%,2.50%
Knowsley,8.80%,4.90%,3.90%
Lancashire,7.10%,5.40%,1.70%
Liverpool,8.10%,4.80%,3.30%
Manchester,7.10%,4.30%,2.80%
Oldham,7.70%,5.00%,2.70%
Rochdale,7.90%,4.70%,3.30%
Salford,8.30%,5.10%,3.20%
Sefton,8.00%,5.90%,2.10%
St_Helens,8.40%,5.50%,2.90%
Stockport,7.20%,5.40%,1.80%
Tameside,7.20%,4.50%,2.70%
Trafford,6.40%,5.30%,1.10%
Warrington,7.10%,5.10%,2.00%
Wigan,7.70%,5.40%,2.30%
Wirral,8.20%,6.10%,2.20%
Barnsley,8.10%,4.90%,3.10%
Bradford,9.00%,5.40%,3.70%
Calderdale,7.40%,5.10%,2.30%
Doncaster,8.40%,5.40%,2.90%
East_Riding_of_Yorkshire,7.40%,5.80%,1.60%
"Kingston_upon_Hull,_City_of",8.00%,4.90%,3.10%
Kirklees,7.40%,5.50%,2.00%
Leeds,7.50%,4.70%,2.90%
North_East_Lincolnshire,7.90%,5.20%,2.80%
North_Lincolnshire,8.00%,5.70%,2.30%
North_Yorkshire,7.70%,6.20%,1.60%
Rotherham,8.20%,5.20%,3.00%
Sheffield,7.90%,4.40%,3.50%
Wakefield,7.80%,5.50%,2.30%
York,7.60%,5.70%,1.90%
Derby,7.60%,5.20%,2.40%
Derbyshire,7.70%,5.90%,1.80%
Leicester,7.00%,4.60%,2.40%
Leicestershire,7.20%,5.70%,1.40%
Lincolnshire,8.00%,6.40%,1.60%
North_Northamptonshire,7.90%,5.70%,2.20%
Nottingham,7.60%,4.50%,3.10%
Nottinghamshire,7.40%,5.30%,2.10%
Rutland,6.50%,5.50%,1.00%
West_Northamptonshire,7.30%,5.50%,1.80%
Birmingham,7.80%,5.20%,2.60%
Coventry,7.60%,5.40%,2.20%
Dudley,8.00%,5.70%,2.30%
"Herefordshire,_County_of",7.70%,6.50%,1.20%
Sandwell,7.40%,4.70%,2.80%
Shropshire,7.90%,6.60%,1.30%
Solihull,7.90%,6.00%,1.80%
Staffordshire,7.60%,6.00%,1.50%
Stoke_on_Trent,8.20%,4.70%,3.50%
Telford_and_Wrekin,7.80%,5.80%,2.00%
Walsall,7.90%,5.00%,3.00%
Warwickshire,8.10%,6.40%,1.80%
Wolverhampton,7.00%,4.50%,2.50%
Worcestershire,8.10%,6.40%,1.70%
Bedford,7.40%,5.60%,1.80%
Cambridgeshire,7.60%,6.00%,1.50%
Central_Bedfordshire,7.60%,6.00%,1.60%
Essex,7.70%,5.70%,2.00%
Hertfordshire,7.20%,5.70%,1.50%
Luton,7.60%,5.40%,2.10%
Norfolk,8.40%,6.30%,2.10%
Peterborough,7.90%,5.80%,2.00%
Southend_on_Sea,7.20%,5.30%,1.90%
Suffolk,8.10%,6.20%,1.90%
Thurrock,6.90%,4.70%,2.20%
Bracknell_Forest,6.70%,5.40%,1.30%
Brighton_and_Hove,8.20%,6.40%,1.80%
Buckinghamshire,7.50%,6.20%,1.30%
East_Sussex,8.00%,5.70%,2.30%
Hampshire,7.20%,5.90%,1.30%
Isle_of_Wight,7.70%,5.50%,2.20%
Kent,7.90%,5.70%,2.20%
Medway,7.70%,5.50%,2.20%
Milton_Keynes,7.40%,5.70%,1.80%
Oxfordshire,7.80%,6.20%,1.60%
Portsmouth,8.30%,5.50%,2.70%
Reading,7.60%,5.30%,2.20%
Slough,7.30%,5.40%,2.00%
Southampton,8.10%,5.30%,2.80%
Surrey,7.10%,5.50%,1.50%
West_Berkshire,7.10%,5.60%,1.40%
West_Sussex,7.30%,5.90%,1.50%
Windsor_and_Maidenhead,7.30%,5.80%,1.50%
Wokingham,6.90%,5.60%,1.30%
Bath_and_North_East_Somerset,7.70%,6.30%,1.30%
"Bournemouth,_Christchurch_and_Poole",7.70%,5.90%,1.90%
"Bristol,_City_of",8.30%,5.90%,2.40%
Cornwall,8.30%,6.40%,1.90%
Devon,8.30%,6.50%,1.70%
Dorset,8.20%,6.10%,2.10%
Gloucestershire,7.40%,6.00%,1.50%
Isles_of_Scilly,6.40%,5.40%,1.00%
North_Somerset,8.00%,6.30%,1.70%
Plymouth,8.80%,6.30%,2.40%
Somerset,8.30%,6.30%,2.00%
South_Gloucestershire,7.40%,5.50%,2.00%
Swindon,7.60%,5.80%,1.80%
Torbay,9.20%,7.30%,1.80%
Wiltshire,7.50%,6.10%,1.40%
Camden,7.70%,5.80%,1.90%
City_of_London,4.30%,3.20%,1.00%
Hackney,6.40%,4.40%,2.00%
Hammersmith_and_Fulham,6.90%,5.20%,1.70%
Haringey,6.90%,4.70%,2.20%
Islington,7.30%,4.80%,2.50%
Kensington_and_Chelsea,7.00%,5.00%,2.00%
Lambeth,6.60%,4.40%,2.20%
Lewisham,6.10%,4.00%,2.10%
Newham,6.60%,3.80%,2.70%
Southwark,6.30%,4.40%,1.90%
Tower_Hamlets,6.20%,4.60%,1.60%
Wandsworth,6.50%,4.80%,1.70%
Westminster,7.30%,4.80%,2.50%
Barking_and_Dagenham,6.60%,4.40%,2.30%
Barnet,6.50%,5.10%,1.40%
Bexley,6.80%,5.00%,1.80%
Brent,6.30%,4.60%,1.70%
Bromley,6.80%,5.10%,1.80%
Croydon,7.00%,4.80%,2.20%
Ealing,6.50%,4.80%,1.60%
Enfield,6.90%,4.60%,2.40%
Greenwich,6.50%,4.00%,2.50%
Harrow,6.20%,5.10%,1.10%
Havering,6.70%,5.30%,1.50%
Hillingdon,6.90%,5.20%,1.80%
Hounslow,6.90%,5.00%,1.90%
Kingston_upon_Thames,6.50%,5.00%,1.50%
Merton,6.60%,4.80%,1.90%
Redbridge,6.50%,4.80%,1.60%
Richmond_upon_Thames,6.70%,5.10%,1.60%
Sutton,6.90%,5.40%,1.50%
Waltham_Forest,6.80%,4.70%,2.00%