,Pupil_to_teacher_ratio_within_schools,Pupil_to_teacher_ratio_qualified_within_schools
County_Durham,17.8,18
Darlington,18.3,18.5
Gateshead,17.5,17.6
Hartlepool,17.2,17.7
Middlesbrough,16.7,16.9
Newcastle_upon_Tyne,17.8,18.1
North_Tyneside,16.9,17.1
Northumberland,18.1,18.2
Redcar_and_Cleveland,17.8,18
South_Tyneside,17.5,17.8
Stockton_on_Tees,18.4,18.7
Sunderland,17.5,17.6
Blackburn_with_Darwen,17.5,17.8
Blackpool,16.9,17.1
Bolton,18.1,18.3
Bury,18.6,18.8
Cheshire_East,18.3,18.6
Cheshire_West_and_Chester,17.5,17.7
Cumbria,17.7,18
Halton,16.9,17.1
Knowsley,18.1,18.2
Lancashire,18.4,18.5
Liverpool,17.9,18.2
Manchester,17.7,18.1
Oldham,19.4,19.9
Rochdale,18.6,18.8
Salford,18.2,18.4
Sefton,18.7,18.9
St_Helens,18.6,18.7
Stockport,18.3,18.4
Tameside,18.2,18.5
Trafford,18.1,18.3
Warrington,18.9,19
Wigan,18.2,18.3
Wirral,17.3,17.4
Barnsley,19.5,19.8
Bradford,18.2,18.6
Calderdale,18.4,18.7
Doncaster,18.6,18.9
East_Riding_of_Yorkshire,18.8,19.1
"Kingston_upon_Hull,_City_of",17.5,18
Kirklees,18.3,18.4
Leeds,18.9,19.1
North_East_Lincolnshire,18.6,19.5
North_Lincolnshire,18.6,19
North_Yorkshire,18.1,18.2
Rotherham,18,18.2
Sheffield,18.9,19.1
Wakefield,19.5,19.8
York,18.1,18.1
Derby,17.8,18.5
Derbyshire,18.6,18.9
Leicester,17.9,18.5
Leicestershire,19.3,19.7
Lincolnshire,18,18.5
North_Northamptonshire,18.4,19.2
Nottingham,17.7,18.3
Nottinghamshire,19,19.3
Rutland,17.5,17.7
West_Northamptonshire,18.3,19.1
Birmingham,17.5,17.9
Coventry,18.5,19
Dudley,18.9,19.2
"Herefordshire,_County_of",17.3,17.7
Sandwell,18.4,18.9
Shropshire,18.6,18.8
Solihull,17.6,18
Staffordshire,18.3,18.6
Stoke_on_Trent,19.4,20.1
Telford_and_Wrekin,18.2,18.5
Walsall,17.9,18.3
Warwickshire,18.9,19.3
Wolverhampton,17.3,18
Worcestershire,17.7,18
Bedford,18.6,19.6
Cambridgeshire,18.1,18.8
Central_Bedfordshire,18.8,19.7
Essex,18.8,19.5
Hertfordshire,17.7,18.3
Luton,18.7,19.9
Norfolk,18.1,18.8
Peterborough,18.2,19.1
Southend_on_Sea,18.1,19.3
Suffolk,18.2,18.9
Thurrock,19.2,20.8
Bracknell_Forest,18.2,18.9
Brighton_and_Hove,18.3,18.6
Buckinghamshire,17.8,18.7
East_Sussex,18.2,18.9
Hampshire,17.9,18.4
Isle_of_Wight,18.5,19.3
Kent,17.7,18.4
Medway,18,19
Milton_Keynes,17.6,18.4
Oxfordshire,18.5,19
Portsmouth,17.8,18.3
Reading,18.2,19
Slough,18.4,20.3
Southampton,17.2,17.8
Surrey,18.1,18.6
West_Berkshire,17.7,18.1
West_Sussex,18.6,18.9
Windsor_and_Maidenhead,18,18.8
Wokingham,18.9,19.3
Bath_and_North_East_Somerset,18.2,18.3
"Bournemouth,_Christchurch_and_Poole",17.9,18.4
"Bristol,_City_of",17.4,17.6
Cornwall,18.3,18.6
Devon,17.9,18.1
Dorset,18.1,18.5
Gloucestershire,17.8,18
Isles_of_Scilly,8.8,10.5
North_Somerset,19,19.2
Plymouth,17.6,17.9
Somerset,18.3,18.6
South_Gloucestershire,18.7,18.8
Swindon,18.8,19.5
Torbay,17.4,17.8
Wiltshire,18,18.4
Camden,15.7,16.2
City_of_London,19.5,23.1
Hackney,14.9,15.7
Hammersmith_and_Fulham,15.2,15.9
Haringey,17.2,18
Islington,15.8,16.5
Kensington_and_Chelsea,15.3,16.2
Lambeth,16.3,16.9
Lewisham,17.3,17.9
Newham,15.8,16.7
Southwark,15.7,16.5
Tower_Hamlets,15.3,15.9
Wandsworth,15.7,16.3
Westminster,15,15.7
Barking_and_Dagenham,16.9,17.5
Barnet,17,18.1
Bexley,18.8,19.6
Brent,17.4,18.4
Bromley,18.8,19.6
Croydon,18,19.1
Ealing,18,18.7
Enfield,17.2,17.9
Greenwich,17.3,17.8
Harrow,18.2,19.3
Havering,18.6,19.5
Hillingdon,17.7,18.9
Hounslow,17.4,18.1
Kingston_upon_Thames,18.1,18.6
Merton,17,17.6
Redbridge,18.9,19.7
Richmond_upon_Thames,18.7,19.1
Sutton,17.6,18.4
Waltham_Forest,17.6,18.2