name,Rate_of_vacancies
County_Durham,0.2
Darlington,0.6
Gateshead,0.1
Hartlepool,0.2
Middlesbrough,0.3
Newcastle_upon_Tyne,0
North_Tyneside,0.2
Northumberland,0.2
Redcar_and_Cleveland,0.1
South_Tyneside,0.1
Stockton_on_Tees,0.4
Sunderland,0.1
Blackburn_with_Darwen,0.3
Blackpool,0.1
Bolton,0.7
Bury,0.1
Cheshire_East,0.3
Cheshire_West_and_Chester,0.3
Cumbria,0.2
Halton,0.3
Knowsley,0.4
Lancashire,0.2
Liverpool,0.2
Manchester,0.6
Oldham,0.3
Rochdale,0.1
Salford,0.2
Sefton,0.3
St_Helens,0.2
Stockport,0.1
Tameside,0.1
Trafford,0.1
Warrington,0.2
Wigan,0.2
Wirral,0.2
Barnsley,0.6
Bradford,0.7
Calderdale,0.1
Doncaster,0.5
East_Riding_of_Yorkshire,0.1
"Kingston_upon_Hull,_City_of",0.3
Kirklees,0.2
Leeds,0.3
North_East_Lincolnshire,0.8
North_Lincolnshire,0.6
North_Yorkshire,0.3
Rotherham,0.1
Sheffield,0.6
Wakefield,0.3
York,0.1
Derby,0.1
Derbyshire,0.3
Leicester,0.4
Leicestershire,0.3
Lincolnshire,0.4
North_Northamptonshire,0.4
Nottingham,0.4
Nottinghamshire,0.3
Rutland,0.3
West_Northamptonshire,0.4
Birmingham,0.4
Coventry,0.7
Dudley,0.3
"Herefordshire,_County_of",0.2
Sandwell,0.3
Shropshire,0.3
Solihull,0.8
Staffordshire,0.2
Stoke_on_Trent,0.2
Telford_and_Wrekin,0.2
Walsall,0.3
Warwickshire,0.3
Wolverhampton,0.6
Worcestershire,0.3
Bedford,0.9
Cambridgeshire,0.4
Central_Bedfordshire,0.9
Essex,0.3
Hertfordshire,0.2
Luton,1.1
Norfolk,0.5
Peterborough,0.7
Southend_on_Sea,0.5
Suffolk,0.3
Thurrock,0.4
Bracknell_Forest,0.3
Brighton_and_Hove,0.3
Buckinghamshire,0.6
East_Sussex,0.4
Hampshire,0.2
Isle_of_Wight,0.2
Kent,0.3
Medway,0.8
Milton_Keynes,0.7
Oxfordshire,0.4
Portsmouth,0.5
Reading,0.5
Slough,0.2
Southampton,0.5
Surrey,0.3
West_Berkshire,0.3
West_Sussex,0.3
Windsor_and_Maidenhead,0.4
Wokingham,0.8
Bath_and_North_East_Somerset,0.4
"Bournemouth,_Christchurch_and_Poole",0.4
"Bristol,_City_of",0.6
Cornwall,0.3
Devon,0.3
Dorset,0.3
Gloucestershire,0.3
Isles_of_Scilly,0
North_Somerset,0.4
Plymouth,0.3
Somerset,0.2
South_Gloucestershire,0.6
Swindon,0.1
Torbay,0.4
Wiltshire,0.6
Camden,0.3
City_of_London,0
Hackney,0.2
Hammersmith_and_Fulham,0.3
Haringey,0.1
Islington,0.4
Kensington_and_Chelsea,0.2
Lambeth,0.3
Lewisham,0
Newham,0.3
Southwark,0.5
Tower_Hamlets,0.1
Wandsworth,0.6
Westminster,0.5
Barking_and_Dagenham,0.4
Barnet,0.3
Bexley,0.3
Brent,0.5
Bromley,0.5
Croydon,0.2
Ealing,0.2
Enfield,0.1
Greenwich,0.2
Harrow,0.1
Havering,0.1
Hillingdon,0.4
Hounslow,0.3
Kingston_upon_Thames,0
Merton,0.2
Redbridge,0.3
Richmond_upon_Thames,0.1
Sutton,0.5
Waltham_Forest,0.5